user_id,title,content,status
11111111-1111-1111-1111-111111111111,Welcome,Chào mừng bạn đến với hệ thống!,pending
22222222-2222-2222-2222-222222222222,Info,Tài khoản của bạn đã được cập nhật,sent
11111111-1111-1111-1111-111111111111,Alert,Phát hiện hoạt động bất thường,read
22222222-2222-2222-2222-222222222222,Promo,Ưu đãi chỉ trong hôm nay!,failed
11111111-1111-1111-1111-111111111111,Welcome,Cảm ơn bạn đã tham gia!,pending
22222222-2222-2222-2222-222222222222,Info,Bạn có 1 tin nhắn mới,sent
11111111-1111-1111-1111-111111111111,Alert,Tài khoản bị khóa tạm thời,read
22222222-2222-2222-2222-222222222222,Promo,Giảm giá 50% cho đơn đầu tiên,failed
11111111-1111-1111-1111-111111111111,Welcome,Hãy cập nhật thông tin cá nhân,pending
22222222-2222-2222-2222-222222222222,Info,Tính năng mới đã được bật,sent
11111111-1111-1111-1111-111111111111,Alert,Đăng nhập từ thiết bị lạ,read
22222222-2222-2222-2222-222222222222,Promo,Miễn phí vận chuyển tuần này!,failed
11111111-1111-1111-1111-111111111111,Welcome,Khám phá tính năng mới ngay!,pending
22222222-2222-2222-2222-222222222222,Info,Hồ sơ đã hoàn thành,sent
11111111-1111-1111-1111-111111111111,Alert,Thử lại mật khẩu không thành công,read
22222222-2222-2222-2222-222222222222,Promo,Mã giảm giá dành riêng cho bạn,failed
11111111-1111-1111-1111-111111111111,Welcome,Chào mừng quay trở lại!,pending
22222222-2222-2222-2222-222222222222,Info,Email xác minh đã được gửi,sent
11111111-1111-1111-1111-111111111111,Alert,Cảnh báo bảo mật,read
22222222-2222-2222-2222-222222222222,Promo,Nâng cấp gói ngay hôm nay!,failed
